,Кодировка,Балл ЕГЭ,Код ученика
321,che_ege_max_w1_060918_143kum,64.0,s197
322,lit_ege_max_w1_080918_38okm,73.0,s198
323,soc_opt_w2_291118_5chekb,39.0,s199
324,bio_opt_w2_281118_2chekb,34.0,s199
325,che_ege_max_w2_061018_141kum,58.0,s200
326,rus_ege_max_w2_021018_114aim,91.0,s200
327,his_ege_max_on_w2_011018_17kum,86.0,s201
328,phi_ege_max_on_w2_051018_36chekb,59.0,s202
329,che_ege_opt_w2_011218_2vpspb,40.0,s203
330,rus_ege_max_w1_070918_82vpspb,64.0,s203
331,lit_ege_max_w1_040918_26vpspb,0.0,s204
332,mat_ege_int_baza_120219_1mgnsk,5.0,s205
333,bio_ege_max_on_w2_011018_50vpspb,96.0,s206
334,mat_ege_max_on_w1_040918_4kum,92.0,s206
335,soc_opt_w2_021218_8aim,76.0,s207
336,mat_opt_w1_011218_10aim,74.0,s207
337,mat_ege_max_w1_030918_8knn,82.0,s208
338,rus_ege_int_w1_160119_8surgt,71.0,s209
339,inf_ege_int_w2_080219_1surgt,42.0,s209
340,phi_ege_max_w1_090918_22knn,61.0,s210
341,mat_ege_max_w1_080918_13knn,80.0,s210
342,mat_ege_max_w2_061018_64aim,40.0,s211
343,soc_ege_int_w2_060219_11irk,63.0,s212
344,rus_opt_w1_041118_2mgnsk,89.0,s213
345,eng_ege_max_w1_070918_49mgnsk,74.0,s213
346,mat_ege_max_on_w1_030918_3kum,84.0,s214
347,phi_int_on_w2_060219_1kumsk,49.0,s215
348,mat_int_on_w2_100219_1kumsk,62.0,s215
349,rus_ege_max_w1_040918_4mgnsk,80.0,s216
350,inf_ege_max_w1_070918_42mgnsk,83.0,s216
351,mat_ege_max_w1_060918_10mgnsk,74.0,s216
352,eng_ege_max_w1_060918_6blm,80.0,s217
353,soc_ege_max_w1_040918_101blm,74.0,s217
354,rus_ege_max_w1_090918_126blm,72.0,s217
355,mat_ege_max_on_w1_030918_3kum,74.0,s218
356,che_ege_max_w1_090918_66chekb,26.0,s219
357,eng_opt_w2_301118_1knn,82.0,s220
358,rus_ege_max_w1_060918_3knn,98.0,s220
359,mat_ege_max_w1_040918_12knn,80.0,s220
360,soc_opt_w2_021218_8aim,89.0,s221
361,rus_ege_max_w2_280918_2irk,72.0,s222
362,lit_int_on_w2_050219_1kumsk,63.0,s223
363,soc_ege_int_w2_060219_4knn,45.0,s224
364,eng_ege_max_w2_031018_1tlt,75.0,s225
365,his_ege_max_w2_071018_1tlt,69.0,s225
366,mat_ege_int_w1_190119_1chekb,62.0,s226
367,his_ege_max_on_w1_050918_16kum,93.0,s227
